TIME	CALLS	PUTS	TOTAL	P/C RATIO
2026-01-14 09:00:00	823953	493609	1317562	0.6
2026-01-14 09:30:00	1284172	844051	2128223	0.66
2026-01-14 10:00:00	2476463	1930284	4406747	0.78
2026-01-14 10:30:00	3207596	2449296	5656892	0.76
2026-01-14 11:00:00	2604878	1782510	4387388	0.68
2026-01-14 11:30:00	2886844	1978112	4864956	0.69
2026-01-14 12:00:00	4375832	3386778	7762610	0.77
2026-01-14 12:30:00	4669851	3608131	8277982	0.77
2026-01-14 13:00:00	5063017	3904085	8967102	0.77
2026-01-14 13:30:00	5403073	4165311	9568384	0.77
2026-01-14 14:00:00	5739803	4569287	10309090	0.8
2026-01-14 14:30:00	6285130	4954425	11239555	0.79
2026-01-14 15:00:00	4795586	3977882	8773468	0.83
2026-01-14 15:15:00	4916878	4160500	9077378	0.85
2026-01-13 09:00:00	855559	793997	1649556	0.93
2026-01-13 09:30:00	1493682	1368227	2861909	0.92
2026-01-13 10:00:00	2055121	1739563	3794684	0.85
2026-01-13 10:30:00	2487822	2088867	4576689	0.84
2026-01-13 11:00:00	2985189	2415978	5401167	0.81
2026-01-13 11:30:00	3295033	2653306	5948339	0.81
2026-01-13 12:00:00	3604362	2912614	6516976	0.81
2026-01-13 12:30:00	3924865	3186142	7111007	0.81
2026-01-13 13:00:00	4321749	3464798	7786547	0.8
2026-01-13 13:30:00	4607725	3722668	8330393	0.81
2026-01-13 14:00:00	4863755	3967008	8830763	0.82
2026-01-13 14:30:00	5211936	4242610	9454546	0.81
2026-01-13 15:00:00	5775601	5066049	10841650	0.88
2026-01-13 15:15:00	5848820	5134775	10983595	0.88
2026-01-12 09:00:00	618591	473336	1091927	0.77
2026-01-12 09:30:00	1382824	1188136	2570960	0.86
2026-01-12 10:00:00	1804997	1564045	3369042	0.87
2026-01-12 10:30:00	2226867	1909818	4136685	0.86
2026-01-12 11:00:00	2569584	2282460	4852044	0.89
2026-01-12 11:30:00	2848671	2540730	5389401	0.89
2026-01-12 12:00:00	3129840	2780507	5910347	0.89
2026-01-12 12:30:00	3423246	3025965	6449211	0.88
2026-01-12 13:00:00	3687854	3274402	6962256	0.89
2026-01-12 13:30:00	3934548	3490596	7425144	0.89
2026-01-12 14:00:00	3044568	2442909	5487477	0.8
2026-01-12 14:30:00	3248985	2769762	6018747	0.85
2026-01-12 15:00:00	4946829	4587148	9533977	0.93
2026-01-12 15:15:00	4994715	4637620	9632335	0.93
2026-01-09 09:00:00	839595	546365	1385960	0.65
2026-01-09 09:30:00	1611569	1148090	2759659	0.71
2026-01-09 10:00:00	2410762	1634781	4045543	0.68
2026-01-09 10:30:00	2919903	1934861	4854764	0.66
2026-01-09 11:00:00	3361705	2260364	5622069	0.67
2026-01-09 11:30:00	3682898	2540812	6223710	0.69
2026-01-09 12:00:00	3986200	2781141	6767341	0.7
2026-01-09 12:30:00	4266417	3079110	7345527	0.72
2026-01-09 13:00:00	4658703	3365957	8024660	0.72
2026-01-09 13:30:00	4948128	3622845	8570973	0.73
2026-01-09 14:00:00	5290046	3889671	9179717	0.74
2026-01-09 14:30:00	5720928	4209851	9930779	0.74
2026-01-09 15:00:00	6226888	4708355	10935243	0.76
2026-01-09 15:15:00	6339837	4785831	11125668	0.75
2026-01-08 09:00:00	805212	636339	1441551	0.79
2026-01-08 09:30:00	1370994	1015597	2386591	0.74
2026-01-08 10:00:00	2001805	1407115	3408920	0.7
2026-01-08 10:30:00	2420527	1707454	4127981	0.71
2026-01-08 11:00:00	2817578	1992114	4809692	0.71
2026-01-08 11:30:00	3079188	2394906	5474094	0.78
2026-01-08 12:00:00	3443505	2616426	6059931	0.76
2026-01-08 12:30:00	3737570	2872298	6609868	0.77
2026-01-08 13:00:00	3991308	3130590	7121898	0.78
2026-01-08 13:30:00	4288785	3415666	7704451	0.8
2026-01-08 14:00:00	4556620	3641513	8198133	0.8
2026-01-08 14:30:00	4870667	3943702	8814369	0.81
2026-01-08 15:00:00	5334228	4392780	9727008	0.82
2026-01-08 15:15:00	5397878	4468272	9866150	0.83
2026-01-07 09:00:00	534952	332488	867440	0.62
2026-01-07 09:30:00	1039654	594275	1633929	0.57
2026-01-07 10:00:00	1344852	887226	2232078	0.66
2026-01-07 10:30:00	1632963	1045209	2678172	0.64
2026-01-07 11:00:00	1904878	1253611	3158489	0.66
2026-01-07 11:30:00	2119782	1423117	3542899	0.67
2026-01-07 12:00:00	2360343	1582464	3942807	0.67
2026-01-07 12:30:00	3597180	2760258	6357438	0.77
2026-01-07 13:00:00	3885467	2968023	6853490	0.76
2026-01-07 13:30:00	2835921	1960950	4796871	0.69
2026-01-07 14:00:00	2963644	2080336	5043980	0.7
2026-01-07 14:30:00	3187823	2500482	5688305	0.78
2026-01-07 15:00:00	3502600	2799069	6301669	0.8
2026-01-07 15:15:00	3556024	2863494	6419518	0.81
2026-01-06 09:00:00	876651	668768	1545419	0.76
2026-01-06 09:30:00	1467443	1157277	2624720	0.79
2026-01-06 10:00:00	2057072	1634347	3691419	0.79
2026-01-06 10:30:00	2547925	1982699	4530624	0.78
2026-01-06 11:00:00	2910797	2234002	5144799	0.77
2026-01-06 11:30:00	3229244	2772664	6001908	0.86
2026-01-06 12:00:00	3521886	3049273	6571159	0.87
2026-01-06 12:30:00	3773554	3256847	7030401	0.86
2026-01-06 13:00:00	4102334	3496130	7598464	0.85
2026-01-06 13:30:00	4388501	3761967	8150468	0.86
2026-01-06 14:00:00	4665782	3998050	8663832	0.86
2026-01-06 14:30:00	5051874	4256225	9308099	0.84
2026-01-06 15:00:00	5504497	4835449	10339946	0.88
2026-01-06 15:15:00	5555758	4888011	10443769	0.88
2026-01-05 09:00:00	883810	693800	1577610	0.79
2026-01-05 09:30:00	1525642	1160869	2686511	0.76
2026-01-05 10:00:00	2101151	1641649	3742800	0.78
2026-01-05 10:30:00	2516936	1979078	4496014	0.79
2026-01-05 11:00:00	2878324	2343036	5221360	0.81
2026-01-05 11:30:00	3371583	2644595	6016178	0.78
2026-01-05 12:00:00	3647243	2881750	6528993	0.79
2026-01-05 12:30:00	3916351	3142688	7059039	0.8
2026-01-05 13:00:00	4184106	3381706	7565812	0.81
2026-01-05 13:30:00	4419087	3607162	8026249	0.82
2026-01-05 14:00:00	4748645	3888814	8637459	0.82
2026-01-05 14:30:00	5091513	4253733	9345246	0.84
2026-01-05 15:00:00	5534295	4675543	10209838	0.84
2026-01-05 15:15:00	5605389	4729556	10334945	0.84
2026-01-02 09:00:00	796528	609679	1406207	0.77
2026-01-02 09:30:00	1466125	1215176	2681301	0.83
2026-01-02 10:00:00	1998576	1680872	3679448	0.84
2026-01-02 10:30:00	2446701	2075505	4522206	0.85
2026-01-02 11:00:00	2825506	2401928	5227434	0.85
